match_id,checkpoint,season,venue,toss_winner,winner,batting_first_team,target_batfirst,runs,wickets,overs_left,run_rate,runs_per_wicket,pressure_index,checkpoint_ratio,momentum_runs,momentum_wickets,momentum_runrate,momentum_score,par_runs_cp_final,par_gap_cp,exp_remain_final,exp_final_20,resource_frac,venue_mean_runs_cp,venue_mean_wkts_cp,season_mean_runs_cp,season_mean_wkts_cp,venue_mean_exp_final20,team1,team2,elo_team1_pre,elo_team2_pre,elo_diff_pre,elo_bat_first,elo_bowl_first,elo_diff
1269666,15,2022,"Bellerive Oval, Hobart",Hobart Hurricanes,Brisbane Heat,Brisbane Heat,1,89,6,5,5.933333333333334,12.714285714285714,2.119047619047619,0.75,28,2,5.6,1.5999999999999996,96.30555555555556,-7.305555555555557,40.02777777777778,129.02777777777777,0.2476757449335145,119.47272727272728,3.5272727272727273,114.98181818181818,4.036363636363636,165.62417704081545,Brisbane Heat,Hobart Hurricanes,1467.1889568708452,1505.8768928908762,-38.687936020030975,1467.1889568708452,1505.8768928908762,-38.687936020030975
1269666,20,2022,"Bellerive Oval, Hobart",Hobart Hurricanes,Brisbane Heat,Brisbane Heat,1,150,8,0,7.5,16.666666666666668,16.666666666666668,1.0,61,2,12.2,8.2,152.3661971830986,-2.366197183098592,0.0,150.0,0.0,168.73584905660377,6.264150943396227,163.0943396226415,6.660377358490566,165.62417704081545,Brisbane Heat,Hobart Hurricanes,1467.1889568708452,1505.8768928908762,-38.687936020030975,1467.1889568708452,1505.8768928908762,-38.687936020030975
1269668,6,2022,"Junction Oval, Melbourne",Perth Scorchers,Perth Scorchers,Perth Scorchers,1,58,1,14,9.666666666666666,29.0,1.9333333333333331,0.3,51,1,10.2,8.2,47.2952380952381,10.704761904761902,119.83809523809524,177.83809523809524,0.7415098003763451,54.5,1.0,44.767857142857146,1.3214285714285714,189.676326622813,Perth Scorchers,Melbourne Stars,1555.8821598782897,1492.5563630414476,63.325796836841846,1555.8821598782897,1492.5563630414476,63.32579683684207
1269668,10,2022,"Junction Oval, Melbourne",Perth Scorchers,Perth Scorchers,Perth Scorchers,1,103,3,10,10.3,25.75,2.340909090909091,0.5,56,2,11.2,7.199999999999999,69.30201342281879,33.69798657718121,84.68456375838926,187.6845637583893,0.5239939256601219,103.5,2.5,75.08928571428571,2.4285714285714284,189.676326622813,Perth Scorchers,Melbourne Stars,1555.8821598782897,1492.5563630414476,63.325796836841846,1555.8821598782897,1492.5563630414476,63.32579683684207
1269668,15,2022,"Junction Oval, Melbourne",Perth Scorchers,Perth Scorchers,Perth Scorchers,1,133,5,5,8.866666666666667,22.166666666666668,3.6944444444444446,0.75,30,2,6.0,2.0,103.86585365853658,29.13414634146342,43.68292682926829,176.6829268292683,0.2702923330738018,144.0,4.5,114.98181818181818,4.036363636363636,189.676326622813,Perth Scorchers,Melbourne Stars,1555.8821598782897,1492.5563630414476,63.325796836841846,1555.8821598782897,1492.5563630414476,63.32579683684207
1269668,20,2022,"Junction Oval, Melbourne",Perth Scorchers,Perth Scorchers,Perth Scorchers,1,180,8,0,9.0,20.0,20.0,1.0,47,3,9.4,3.4000000000000004,152.3661971830986,27.633802816901408,0.0,180.0,0.0,204.5,7.5,163.0943396226415,6.660377358490566,189.676326622813,Perth Scorchers,Melbourne Stars,1555.8821598782897,1492.5563630414476,63.325796836841846,1555.8821598782897,1492.5563630414476,63.32579683684207
1269669,6,2022,Sydney Showground Stadium,Sydney Thunder,Sydney Thunder,Sydney Thunder,1,52,0,14,8.666666666666666,52.0,3.466666666666667,0.3,49,0,9.8,9.8,53.71028037383178,-1.7102803738317789,122.3644859813084,174.3644859813084,0.7571420873544606,43.28125,1.59375,44.767857142857146,1.3214285714285714,157.86469114915616,Sydney Thunder,Adelaide Strikers,1501.6794450033335,1454.2594289941292,47.42001600920457,1501.6794450033335,1454.2594289941292,47.420016009204346
1269669,10,2022,Sydney Showground Stadium,Sydney Thunder,Sydney Thunder,Sydney Thunder,1,73,2,10,7.3,24.333333333333332,2.212121212121212,0.5,25,2,5.0,1.0,76.94827586206897,-3.948275862068968,88.93103448275862,161.9310344827586,0.5502693738210349,69.51612903225806,2.3870967741935485,75.08928571428571,2.4285714285714284,157.86469114915616,Sydney Thunder,Adelaide Strikers,1501.6794450033335,1454.2594289941292,47.42001600920457,1501.6794450033335,1454.2594289941292,47.420016009204346
1269669,15,2022,Sydney Showground Stadium,Sydney Thunder,Sydney Thunder,Sydney Thunder,1,124,3,5,8.266666666666667,31.0,5.166666666666667,0.75,51,1,10.2,8.2,120.06428571428572,3.9357142857142833,50.65,174.65,0.313401771902686,111.19354838709675,3.774193548387097,114.98181818181818,4.036363636363636,157.86469114915616,Sydney Thunder,Adelaide Strikers,1501.6794450033335,1454.2594289941292,47.42001600920457,1501.6794450033335,1454.2594289941292,47.420016009204346
1269669,20,2022,Sydney Showground Stadium,Sydney Thunder,Sydney Thunder,Sydney Thunder,1,172,7,0,8.6,21.5,21.5,1.0,48,4,9.6,1.5999999999999996,161.1888888888889,10.811111111111105,0.0,172.0,0.0,158.8148148148148,6.555555555555555,163.0943396226415,6.660377358490566,157.86469114915616,Sydney Thunder,Adelaide Strikers,1501.6794450033335,1454.2594289941292,47.42001600920457,1501.6794450033335,1454.2594289941292,47.420016009204346
