match_id,checkpoint,runs,wickets,overs_left,run_rate,runs_per_wicket,pressure_index,checkpoint_ratio,toss_win,momentum_runs,momentum_wickets,momentum_runrate,momentum_score,season,toss_decision,target_batfirst,date,winner,bat_first_team
524933,20,117,7,0,5.85,14.625,14.625,1.0,0,-103,-7,-20.6,-6.600000000000001,2012,bat,1,2012-01-08,Sydney Sixers,Sydney Sixers
524934,6,55,0,14,9.166666666666666,55.0,3.6666666666666665,0.3,1,49,0,9.8,9.8,2012,bat,1,2012-01-08,Perth Scorchers,Perth Scorchers
524934,10,93,0,10,9.3,93.0,8.454545454545455,0.5,1,45,0,9.0,9.0,2012,bat,1,2012-01-08,Perth Scorchers,Perth Scorchers
524934,15,128,1,5,8.533333333333333,64.0,10.666666666666666,0.75,1,35,1,7.0,5.0,2012,bat,1,2012-01-08,Perth Scorchers,Perth Scorchers
524934,20,184,5,0,9.2,30.666666666666668,30.666666666666668,1.0,1,56,4,11.2,3.1999999999999993,2012,bat,1,2012-01-08,Perth Scorchers,Perth Scorchers
524935,6,55,0,14,9.166666666666666,55.0,3.6666666666666665,0.3,0,49,0,9.8,9.8,2012,bat,1,2012-01-09,Melbourne Stars,Melbourne Stars
524935,10,100,0,10,10.0,100.0,9.090909090909092,0.5,0,55,0,11.0,11.0,2012,bat,1,2012-01-09,Melbourne Stars,Melbourne Stars
524935,15,161,0,5,10.733333333333333,161.0,26.833333333333332,0.75,0,61,0,12.2,12.2,2012,bat,1,2012-01-09,Melbourne Stars,Melbourne Stars
524935,20,203,3,0,10.15,50.75,50.75,1.0,0,42,3,8.4,2.4000000000000004,2012,bat,1,2012-01-09,Melbourne Stars,Melbourne Stars
524936,6,45,1,14,7.5,22.5,1.5,0.3,0,38,1,7.6,5.6,2012,bat,1,2012-01-10,Sydney Sixers,Sydney Sixers
524936,10,79,2,10,7.9,26.333333333333332,2.393939393939394,0.5,0,40,1,8.0,6.0,2012,bat,1,2012-01-10,Sydney Sixers,Sydney Sixers
524936,15,110,5,5,7.333333333333333,18.333333333333332,3.0555555555555554,0.75,0,31,3,6.2,0.2000000000000001,2012,bat,1,2012-01-10,Sydney Sixers,Sydney Sixers
524936,20,151,8,0,7.55,16.77777777777778,16.77777777777778,1.0,0,41,3,8.2,2.1999999999999993,2012,bat,1,2012-01-10,Sydney Sixers,Sydney Sixers
524938,6,44,1,14,7.333333333333333,22.0,1.4666666666666666,0.3,0,39,0,7.8,7.8,2012,bat,1,2012-01-12,Brisbane Heat,Brisbane Heat
524938,10,71,4,10,7.1,14.2,1.2909090909090908,0.5,0,45,3,9.0,3.0,2012,bat,1,2012-01-12,Brisbane Heat,Brisbane Heat
524938,15,104,5,5,6.933333333333334,17.333333333333332,2.888888888888889,0.75,0,33,1,6.6,4.6,2012,bat,1,2012-01-12,Brisbane Heat,Brisbane Heat
524938,20,168,7,0,8.4,21.0,21.0,1.0,0,64,2,12.8,8.8,2012,bat,1,2012-01-12,Brisbane Heat,Brisbane Heat
524939,6,44,3,14,7.333333333333333,11.0,0.7333333333333333,0.3,0,40,3,8.0,2.0,2012,field,1,2012-01-17,Brisbane Heat,Brisbane Heat
524939,10,77,3,10,7.7,19.25,1.75,0.5,0,48,1,9.6,7.6,2012,field,1,2012-01-17,Brisbane Heat,Brisbane Heat
524939,15,119,3,5,7.933333333333334,29.75,4.958333333333333,0.75,0,42,0,8.4,8.4,2012,field,1,2012-01-17,Brisbane Heat,Brisbane Heat
524939,20,195,4,0,9.75,39.0,39.0,1.0,0,76,1,15.2,13.2,2012,field,1,2012-01-17,Brisbane Heat,Brisbane Heat
524940,6,58,0,14,9.666666666666666,58.0,3.8666666666666663,0.3,0,51,0,10.2,10.2,2012,bat,0,2012-01-18,Hobart Hurricanes,Melbourne Renegades
524940,10,98,0,10,9.8,98.0,8.909090909090908,0.5,0,48,0,9.6,9.6,2012,bat,0,2012-01-18,Hobart Hurricanes,Melbourne Renegades
524940,15,137,1,5,9.133333333333333,68.5,11.416666666666666,0.75,0,39,1,7.8,5.8,2012,bat,0,2012-01-18,Hobart Hurricanes,Melbourne Renegades
524940,20,173,4,0,8.65,34.6,34.6,1.0,0,36,3,7.2,1.2000000000000002,2012,bat,0,2012-01-18,Hobart Hurricanes,Melbourne Renegades
524941,6,52,2,14,8.666666666666666,17.333333333333332,1.1555555555555554,0.3,1,50,1,10.0,8.0,2012,bat,1,2012-01-18,Sydney Sixers,Sydney Sixers
524941,10,79,3,10,7.9,19.75,1.7954545454545454,0.5,1,36,1,7.2,5.2,2012,bat,1,2012-01-18,Sydney Sixers,Sydney Sixers
524941,15,126,4,5,8.4,25.2,4.2,0.75,1,47,1,9.4,7.4,2012,bat,1,2012-01-18,Sydney Sixers,Sydney Sixers
524941,20,176,10,0,8.8,16.0,16.0,1.0,1,50,6,10.0,-2.0,2012,bat,1,2012-01-18,Sydney Sixers,Sydney Sixers
524942,6,46,1,14,7.666666666666667,23.0,1.5333333333333334,0.3,0,40,1,8.0,6.0,2012,bat,0,2012-01-19,Melbourne Stars,Adelaide Strikers
524942,10,66,3,10,6.6,16.5,1.5,0.5,0,29,2,5.8,1.7999999999999998,2012,bat,0,2012-01-19,Melbourne Stars,Adelaide Strikers
524942,15,100,5,5,6.666666666666667,16.666666666666668,2.777777777777778,0.75,0,34,2,6.8,2.8,2012,bat,0,2012-01-19,Melbourne Stars,Adelaide Strikers
